MULTIPLIER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
,arrowhead,water,2037
,mars,candy,2036
,nostalgia perfumery,body fragrances,2027
,cantina especial,spirits,2025
,corona premier,beer,2025
,ensure,meal replacement beverages,2021
,welchs fruit snacks,fruit  vegetable snacks,2020
,simply spiked,malt beverages,2017
,poise,adult incontinence,2008
,altstadt,beer,2004
,counter culture coffee,coffee,2001
,dish works oxy,bath  body,1994
,mcalisters deli,pickled goods,1987
,uncle bens,rice  grains,1983
,nature valley,cookies,1979
,jr watkins,bath  body,1977
,jumex,fruit juices,1972
,jolly rancher,candy,1971
,light  fit,yogurt,1963
,svedka,spirits,1955
,one a day,medicines  treatments,1949
,disaronno,spirits,1948
,pay day,candy,1947
,hoegaarden,beer,1947
,happy egg,eggs,1943
,my beauty spot,bath  body,1940
,panama jack,deodorant  antiperspirant,1938
,benadryl,medicines  treatments,1935
,dos equis,beer,1935
,groovi beauty,deodorant  antiperspirant,1933
,cadbury,candy,1931
,natures own,bread,1929
,otto,frozen pizza  pizza snacks,1923
,portland cider co,fruit juices,1918
,shock top,beer,1914
,ragu,alfredo  white pasta sauce,1914
,altoids,candy,1913
,pinxor,bath  body,1907
,holler and glow,bath  body,1905
,frankly,spirits,1897
,schilling company,fruit juices,1892
,prairie,spirits,1876
,sugarlands shine,spirits,1875
,southern tier variety pack,beer,1871
,bubly,carbonated soft drinks,1869
,starr hill,beer,1869
,pro value,household supplies,1868
,dole foods,fruit  vegetable snacks,1862
,paulaner,beer,1859
,duncan hines,cooking  baking,1858
,entenmanns sweet baked goods,bakery,1858
,kodiak cakes,cooking  baking,1855
,monster,sports drinks,1853
,brillo,bath  body,1851
,cascadian farm,cereal granola  toaster pastries,1844
,yes way rose,wine,1841
,the club,spirits,1837
,casa santorsola,wine,1836
,chips ahoy,cookies,1834
,bakery fresh goodness,bakery,1832
,sqrrl,spirits,1832
,bushs,soup  broth,1829
,shandy carib,beer,1822
,health ade,tea,1819
,mosaic,bath  body,1819
,tieton cider works,fruit juices,1816
,gillette,hair removal,1813
,hectare,wine,1808
,peter pan,sauces  marinades,1808
,panamajack,deodorant  antiperspirant,1807
,sol,hard seltzers sodas waters lemonades  teas,1806
,sara lee artesano,bread,1806
,winemakers,wine,1805
,activia,yogurt,1804
,house wine,wine,1796
,yoplait gogurt,yogurt,1795
,milk duds,candy,1787
,tuli,wine,1786
,lucky duck,wine,1785
,great value bleach effects,bath  body,1784
,axe,oral care,1781
,eternal,water,1778
,tropical,wine,1776
,malt o meal,cereal granola  toaster pastries,1775
,vita divine,spirits,1767
,deer park,water,1765
,drakes organic spiked ice,spirits,1763
,la banderita,bread,1760
,bigelow,tea,1758
,goodfellow and co,hair removal,1757
,long trail,beer,1750
,black box,wine,1748
,truly,spirits,1744
,kronenbourg 1664,beer,1741
,bob evans,cheese,1738
,seagrams gin,spirits,1734
,blakes hard cider co,fruit juices,1724
,crook and marker spiked tea variety pack,malt beverages,1718
,fresh step,bakery,1717
,naturesweet,cooking  baking,1716
,bev,wine,1715
,tecate,beer,1712
,alfaros bread,bread,1712
,baken ets,chips,1707
,chateau bellevue,wine,1705
,kelloggs,nut butters  jam,1704
,klean,wine,1704
,honest,fruit juices,1697
,ghost energy,sports drinks,1696
,pibb xtra,carbonated soft drinks,1696
,chum churum,spirits,1696
,mrs butterworths,nut butters  jam,1695
,mm candy,frozen desserts,1693
,chex mix,crackers,1693
,pop secret,puffed snacks,1691
,tums,medicines  treatments,1690
,qtips,first aid,1688
,left hand brewing company,beer,1681
,breyers,frozen breads  doughs,1678
,two roads,beer,1673
,arnold,bakery,1673
,ice breakers,candy,1670
,ciderboys,fruit juices,1670
,mcalisters deli,soup  broth,1668
,canadian mist,spirits,1664
,white claw hard seltzer,malt beverages,1663
,rainier,beer,1661
,weihenstephan,beer,1660
,pantene,hair care,1660
,mac and jacks,beer,1651
,two good,yogurt,1651
,sun ice,malt beverages,1642
,dove,hair care,1635
,goodbaths,deodorant  antiperspirant,1635
,mamamango,wine,1629
,rold gold,pretzels,1628
,amys,frozen meals,1625
,mrs bairds,bread,1616
,jack links,jerky  dried meat,1614
,everspring,bath  body,1607
,ranch rider spirits co,spirits,1601
,medalla light,beer,1594
,sugarlands shine appalachian,spirits,1593
,buchanans de luxe,spirits,1586
,blue buffalo,frozen chicken,1586
,beyond meat,plantbased meat,1584
,swiss miss,milk,1581
,muszynianka,carbonated soft drinks,1580
,on the border,chips,1580
,funables,fruit  vegetable snacks,1575
,dermasil labs,bath  body,1573
,pollyo,eggs,1569
,heavy seas,beer,1568
,califia farms,milk,1566
,mcalisters deli,frozen chicken,1564
,sun chips,chips,1559
,malibu,spirits,1556
,laudato,wine,1555
,members mark,wine,1553
,sea dog bluepaw,beer,1548
,aeropostale,deodorant  antiperspirant,1547
,woodchuck,fruit juices,1545
,febreze,bread,1544
,yardley london,deodorant  antiperspirant,1542
,yocrunch,yogurt,1538
,hidden valley ranch,sauces  marinades,1537
,pennsylvania dutch,spirits,1534
,hpnotiq,spirits,1530
,albino armani,wine,1529
,crest,bath  body,1525
,nature valley,candy,1524
,no brand listed,bath  body,1519
,chum churum soon hari,spirits,1514
,bisquick,cooking  baking,1512
,kraft,dressings,1508
,libbys,cooking  baking,1507
,meijer,cooking  baking,1506
,ripple,cooking  baking,1504
,bimbo sweet baked goods,bakery,1503
,mystic reef hard seltzer variety pack,beer,1502
,big ditch brewing company,beer,1501
,eos,hair removal,1501
,country crock original,cooking  baking,1495
,ninkasi brewing company,beer,1495
,leroux,spirits,1494
,annies homegrown grocery,cheese,1489
,meow mix,packaged meat,1488
,hall ranch,wine,1487
,dg smart and simple,bath  body,1485
,uncle nearest 1884,spirits,1485
,good  plenty,candy,1484
,revel stoke,spirits,1477
,quaker,snack cakes,1477
,claussen,prepared meals,1475
,litehouse,cheese,1474
,palmolive,cooking  baking,1471
,natural light,beer,1466
,palmolive,household supplies,1465
,lysol,makeup,1464
,crystal light,water,1462
,munchies,fruit  vegetable snacks,1458
,ace,fruit juices,1452
,brita pop up,household supplies,1452
,arnold brownberry oroweat bread,bread,1446
,purell,bath  body,1442
,corona,hard seltzers sodas waters lemonades  teas,1442
,simply organic,cooking  baking,1440
,penny smart,bath  body,1438
,enfamil,baby bathing,1437
,zywiec,beer,1434
,betty crocker other,cooking  baking,1433
,secret,deodorant  antiperspirant,1433
,honest,cooking  baking,1433
,famous amos,candy,1432
,pro sanitize,bath  body,1432
,hunts,pasta  noodles,1419
,land o lakes,butter  margarine,1419
,wesson,cooking  baking,1416
,devour,frozen meals,1412
,rogue,beer,1410
,fosters,beer,1406
,tide,cooking  baking,1403
,dripping springs,spirits,1402
,genesee,beer,1399
,aussie,hair care,1397
,dole,leafy salads,1395
,hint,water,1395
,elf,makeup,1385
,vizzy,hard seltzers sodas waters lemonades  teas,1385
,cheezit puffd,crackers,1384
,reddiwip,dips  salsa,1384
,members mark ultimate clean,bath  body,1384
,ketel one,spirits,1384
,troegs,beer,1383
,vistamar,wine,1381
,dr pepper caffeine free,carbonated soft drinks,1380
,viva,household supplies,1371
,brew dr,tea,1369
,quaker,cookies,1369
,fat heads,beer,1367
,rum chata,spirits,1364
,frappa chata,spirits,1362
,3 amigos,spirits,1361
,montejo,beer,1360
,athena,wine,1359
,founders premium hard seltzer mas agave vari,malt beverages,1358
,olipop,carbonated soft drinks,1358
,tazo,tea,1355
,mionetto,wine,1354
,country boy brewing,beer,1354
,royal  langnickel,makeup,1352
,glad,prepared meals,1350
,progresso other,bread,1350
,tang,carbonated soft drinks,1347
,st bernardus,beer,1346
,great grains,cereal granola  toaster pastries,1345
,tyson,puffed snacks,1341
,mother earth,beer,1339
,bold rock,fruit juices,1336
,cream of wheat,cereal granola  toaster pastries,1333
,welches fruit n yogurt,fruit  vegetable snacks,1330
,flying dog,beer,1328
,la choy,sauces  marinades,1328
,banza,candy,1322
,late july,candy,1318
,ocean spray juices,fruit juices,1317
,nabisco,cookies,1317
,rockstar energy drink,energy drinks,1316
,conte priola,wine,1315
,nyx professional makeup,makeup,1314
,playa vallarta,wine,1313
,pliny the elder,beer,1312
,prancer and vixen,wine,1308
,the home store,bath  body,1308
,dogfish head,spirits,1300
,muscle milk,milk,1299
,myerss,spirits,1298
,skatter brain,spirits,1297
,floridas natural,fruit juices,1297
,general mills cereal,cereal granola  toaster pastries,1295
,manwich,soup  broth,1289
,flying dog variety pack,beer,1285
,jose cuervo especial,spirits,1284
,head and shoulders,hair care,1284
,bold rock,malt beverages,1283
,ozarka,water,1283
,carbliss,spirits,1278
,hennessy,spirits,1273
,evan williams,spirits,1266
,uptown cocktails,wine,1265
,mcalisters deli,candy,1262
,natural light,malt beverages,1261
,starr hill variety pack,beer,1260
,desert door,spirits,1258
,mozart,spirits,1256
,devils backbone distilling co,spirits,1253
,avid,fruit juices,1252
,jingle  mingle,wine,1251
,snack factory,fruit  vegetable snacks,1247
,sixpoint higher volume variety pack,beer,1245
,wish,bath  body,1245
,kind,cereal granola  toaster pastries,1244
,evolve,carbonated soft drinks,1242
,elijah craig,spirits,1242
,rice a roni,rice  grains,1241
,greyrock,wine,1238
,good 2 grow,fruit juices,1238
,radius,wine,1237
,homebase,bath  body,1235
,amici,wine,1233
,talenti,frozen meals,1232
,bitburger,beer,1232
,super coffee,coffee,1232
,prototype,wine,1231
,devils river,spirits,1230
,crimson thread,wine,1223
,nature made,medicines  treatments,1223
,caseys gen store,packaged vegetables,1222
,ore ida,frozen meals,1221
,marie callenders,cheese,1219
,golden grahams,cereal granola  toaster pastries,1215
,stove top,cooking  baking,1215
,maxwell house,coffee,1214
,44 north,spirits,1212
,burts bees,makeup,1210
,hyvee cooler,fruit juices,1208
,loreal elvive,hair care,1207
,new york,bakery,1205
,publix,cheese,1202
,mule 20,spirits,1201
,siggis,yogurt,1196
,kraft,condiments,1196
,kim crawford,wine,1190
,eclipse,gum,1188
,vander mill,fruit juices,1186
,blue diamond,milk,1183
,lysol,bath  body,1181
,mystic reef,malt beverages,1181
,juicy fruit,gum,1177
,kentucky,beer,1177
,wells,beer,1176
,sun maid,fruit  vegetable snacks,1173
,we clean,bath  body,1172
,barton,spirits,1168
,mounds,candy,1163
,canteen spirits,spirits,1160
,domaine loubejac,wine,1158
,great lakes commodore perry,beer,1158
,pabst blue ribbon,beer,1158
,aveeno,bath  body,1157
,saranac,carbonated soft drinks,1155
,loyal nine cocktails,spirits,1154
,klondike,frozen meals,1153
,temptations,frozen chicken,1144
,wicked weed pernicious ipa,beer,1141
,atkins,meal replacement beverages,1141
,fit vine,wine,1140
,kung fu girl,wine,1140
,frosted flakes,cereal granola  toaster pastries,1133
,ratio,yogurt,1131
,log cabin,cereal granola  toaster pastries,1128
,haus am markt,wine,1128
,rx bar,nuts  seeds,1127
,green mountain coffee,coffee,1124
,ice breakers,candy,1123
,99 lemon lime,spirits,1122
,chateau montet,wine,1121
,mr boston,spirits,1120
,90,wine,1118
,gerber,baby health,1115
,miller high life,makeup,1114
,a1,sauces  marinades,1113
,reeses puffs,cereal granola  toaster pastries,1110
,colgate mouthwash,bath  body,1107
,gardein,frozen chicken,1106
,truvia,cooking  baking,1102
,panera bread,dressings,1096
,country heritage winery and vineyard,wine,1094
,good culture,cooking  baking,1093
,brisk,fruit juices,1093
,irish spring,bath  body,1092
,simply,fruit juices,1092
,cacti,malt beverages,1092
,country time,fruit juices,1090
,first call,spirits,1090
,black forest,candy,1089
,leyenda del milagro,spirits,1086
,uv,spirits,1085
,quaker,crackers,1084
,king arthur,cooking  baking,1083
,good friends,spirits,1081
,cascada,carbonated soft drinks,1080
,caulipower live life on the veg,frozen pizza  pizza snacks,1080
,ratio,cereal granola  toaster pastries,1080
,victoria,spirits,1078
,layer cake,wine,1078
,mars wrigley variety pack,candy,1077
,mccain,frozen sides,1076
,perfect bar,yogurt,1075
,brooks,soup  broth,1074
,fiddlehead brewing company,beer,1070
,members mark,spirits,1069
,hill country fare,water,1069
,corona,malt beverages,1069
,astra bella,wine,1067
,bays,bread,1066
,remy martin 1738,spirits,1066
,lawsons finest liquids,beer,1063
,cottonelle,bath  body,1060
,mcalisters deli,dressings,1059
,twinings,tea,1058
,kinky,malt beverages,1057
,delimex,frozen chicken,1057
,goya,sauces  marinades,1056
,b lovely,wine,1056
,crook and marker,malt beverages,1054
,meow mix,frozen chicken,1053
,good humor,frozen desserts,1052
,depend,adult incontinence,1050
,karbach,beer,1050
,breckenridge,beer,1049
,adictivo,spirits,1048
,simple truth,water,1047
,cointreau,spirits,1046
,milk duds,candy,1045
,lola,wine,1045
,dixon,makeup,1043
,dove mencare,hair care,1043
,mount gay eclipse,spirits,1043
,quaker,rice  grains,1042
,simple mills,cooking  baking,1040
,ponds,skin care,1039
,bradys,spirits,1036
,adams,cooking  baking,1035
,the speyside,spirits,1035
,meow mix,cooking  baking,1034
,avery brewing co,beer,1033
,luna di luna,wine,1032
,wisepies,frozen pizza  pizza snacks,1031
,yoplait gogurt,yogurt,1031
,clif kid,chips,1030
,sara lee,cheese,1028
,notorious pink,wine,1025
,clyde mays,spirits,1023
,aquation,bath  body,1022
,hop valley brewing co,beer,1021
,starbucks,candy,1019
,seattle cider co,fruit juices,1017
,eight oclock,coffee,1017
,great lakes burning river,beer,1016
,finish,cooking  baking,1015
,dunkin,drink mixes,1013
,kroger,coffee,1012
,health ade,carbonated soft drinks,1008
,manzanita sol,carbonated soft drinks,1008
,carnation,milk,1007
,munchies,nuts  seeds,1004
,hickory harvest,snack mixes,1004
,best accessory group,bath  body,1003
,distillery series,deodorant  antiperspirant,1002
,lonehand,spirits,1001
,shakespeares,frozen pizza  pizza snacks,1001
,jose cuervo tradicional,spirits,1000
,dolly,deodorant  antiperspirant,997
,all sport,water,996
,old el paso,packaged vegetables,996
,geisslers,packaged meat,996
,knorr,sauces  marinades,995
,simply,chips,994
,kings creek,spirits,992
,strohs,beer,992
,bud light,hard seltzers sodas waters lemonades  teas,991
,domino,household supplies,991
,peninsula premium,drink mixes,990
,wild turkey,spirits,988
,be well,wine,987
,glenmorangie,spirits,987
,santa clara rompope,spirits,987
,popsicle,frozen meals,984
,bougrier,wine,984
,bear naked,cereal granola  toaster pastries,984
,pinesol,cooking  baking,981
,streamline,makeup,981
,whistlepig,spirits,980
,la colombe,carbonated soft drinks,978
,huggies,wine,978
,mothers brewing company seasonal,beer,977
,no brand listed,household supplies,975
,carib shandy,beer,974
,filtrete,household supplies,970
,onda,spirits,970
,wishbone,sauces  marinades,969
,pocketbac,bath  body,968
,new holland brewing,beer,967
,kona brewing co,beer,964
,kruto,spirits,962
,mrs bairds,bakery,962
,annies homegrown grocery,crackers,961
,mcmasters,spirits,960
,hard ice,spirits,956
,old el paso,sauces  marinades,954
,charles regnier,spirits,954
,sir kensingtons,condiments,954
,carolans,spirits,952
,hendricks,spirits,952
,nellies,eggs,951
,night shift brewing,beer,951
,kona wave rider variety pack,beer,951
,air wick,hair care,949
,dry fly,spirits,947
,ben  jerrys,frozen desserts,947
,cheezit,chips,947
,painted donkey,spirits,946
,pepperidge farm,bakery,946
,perdue,frozen meals,945
,hersheys,cooking  baking,943
,dole,frozen vegetables,942
,symphony,candy,942
,ketel one botanical,spirits,941
,jack daniels gentleman jack,spirits,941
,powerade zero ion4,sports drinks,940
,mello yello,carbonated soft drinks,938
,celestial seasonings,tea,938
,somrus,spirits,938
,dazed and watermelon,spirits,936
,sabritones,crackers,936
,badia,cooking  baking,936
,magic hat variety pack,beer,927
,cocoa pebbles,cereal granola  toaster pastries,927
,magic power,bath  body,927
,steel reserve,nut butters  jam,926
,cherry 7 up,carbonated soft drinks,926
,walgreens,medicines  treatments,925
,staedtler,cooking  baking,921
,private label,bread,920
,hersheys syrups,nut butters  jam,920
,shorts brew,beer,919
,frosted mini wheats,cereal granola  toaster pastries,918
